endTime,artistName,trackName,msPlayed
2021-11-04 13:27,83HADES,MASS EXTINCTION,198183
2021-11-04 13:31,83HADES,M4H,221345
2021-11-04 13:35,83HADES,RUNTZ FREESTYLE,229784
2021-11-04 13:36,PPV TY,BANANA SPLIT,113559
2021-11-05 08:48,Kamiyada+,SOCKS5,162643
2021-11-05 08:56,Kamiyada+,SOCKS5,15235
2021-11-05 08:59,Yung Bambi,FISHSCALE,182721
2021-11-05 09:02,83HADES,FUCKEVERYONE,166070
2021-11-05 09:06,83HADES,SCARFACE,224163
2021-11-05 09:09,83HADES,TERROR,227974
2021-11-05 09:12,83HADES,AREA83,127552
2021-11-05 09:16,83HADES,BANDSK,266194
2021-11-05 09:20,Citr3s,STICK TALK,178284
2021-11-05 09:24,83HADES,PREZZURE,194142
2021-11-05 09:26,83HADES,2021 PHARMACY FREESTYLE,164120
2021-11-05 09:27,83HADES,KILL,40682
2021-11-05 09:30,Anton Suda,STRESS,181745
2021-11-05 09:34,83HADES,TUNNELVIZION,162401
2021-11-05 09:37,Anton Suda,WELL OFF,139488
2021-11-05 09:41,83HADES,WEAAPON 2,265591
2021-11-05 09:42,83HADES,SHOWZ,52623
2021-11-05 09:45,Auxxk,Important,198750
2021-11-05 09:48,Anton Suda,GET TO IT,151519
2021-11-05 10:00,83HADES,1TIME,100090
2021-11-06 04:50,Zotiyac,Storm Is Coming,132259
2021-11-06 04:54,OG BURIALGROUND,Gang Tapes,219130
2021-11-06 04:57,Ghostface Playa,CYA,144500
2021-11-06 04:59,internetboy,Chess Board,154482
2021-11-06 05:03,Otis McDonald,#quarantune,215993
2021-11-06 05:05,Pharmacist,Wanna Test,108013
2021-11-06 05:07,PokemonBagBruh,Spirit Realm,145076
2021-11-06 05:09,Original God,Serpentine,150909
2021-11-06 05:12,CHRIST DILLINGER,ALASKA,123578
2021-11-06 05:16,83HADES,BANDSK,266194
2021-11-06 05:19,dollbreaker,leave em dead,158500
2021-11-06 05:21,XZARKHAN,Shadows of the Empire,148500
2021-11-06 05:22,Joey Trap,KRYPTONITE,63995
2021-11-06 05:24,ONI INC.,We're Gonna Need More Ammo,112802
2021-11-06 05:27,SpotemGottem,SRT,150884
2021-11-06 05:30,Malik Moses,Show Me Something,197043
2021-11-06 05:32,Chief $upreme,One For The Money (feat. Lil Wayne),150141
2021-11-06 05:34,Sinizter,AGONY,119212
2021-11-06 05:38,Whethan,2 MUCH (feat. Jasiah & KA$HDAMI),194120
2021-11-06 05:41,PE$O PETE,MONSTER TRIO,211999
2021-11-06 05:43,Wvllop,Whimper,130714
2021-11-06 05:45,Aspekt,CALAMITY,125760
2021-11-06 05:48,SwuM,High,142014
2021-11-06 05:50,Bobby Shmurda,Cartier Lens,136256
2021-11-06 05:52,Warlord Colossus,Goblin Graves,131983
2021-11-06 05:55,XANAKIN SKYWOK,Ew!,145776
2021-11-06 05:56,Quadeca,Dasani (feat. DC The Don and SEBii),78915
2021-11-06 06:55,Quadeca,Dasani (feat. DC The Don and SEBii),120620
2021-11-06 06:59,Underoath,Cycle [Feat. Ghostemane],253377
2021-11-06 07:02,Lil Boodang,THE WOMAN MADE OF MIRROR,176551
2021-11-06 07:04,Kayykilo,Yeah B*tch (feat. DaBaby),132493
2021-11-06 07:06,Zotiyac,Storm Is Coming,132259
2021-11-06 07:10,OG BURIALGROUND,Gang Tapes,219130
2021-11-06 07:13,Ghostface Playa,CYA,144500
2021-11-06 07:15,internetboy,Chess Board,154482
2021-11-06 07:19,Otis McDonald,#quarantune,215993
2021-11-06 07:21,Pharmacist,Wanna Test,108013
2021-11-06 07:23,PokemonBagBruh,Spirit Realm,145076
2021-11-06 07:25,Original God,Serpentine,150909
2021-11-06 07:29,CHRIST DILLINGER,ALASKA,123578
2021-11-06 07:33,83HADES,BANDSK,266194
2021-11-06 07:36,dollbreaker,leave em dead,158500
2021-11-06 07:37,XZARKHAN,Shadows of the Empire,65122
2021-11-06 09:30,Joey Trap,KRYPTONITE,6466
2021-11-06 09:30,XZARKHAN,Shadows of the Empire,7866
2021-11-06 09:30,ONI INC.,We're Gonna Need More Ammo,4717
2021-11-06 09:32,SpotemGottem,SRT,150884
2021-11-06 09:36,Malik Moses,Show Me Something,197043
2021-11-06 09:47,Chief $upreme,One For The Money (feat. Lil Wayne),78149
2021-11-06 10:49,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533
2021-11-06 10:52,JPEGMAFIA,Kenan Vs. Kel,181113
2021-11-06 10:55,JPEGMAFIA,Beta Male Strategies,198008
2021-11-06 10:56,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929
2021-11-06 10:59,JPEGMAFIA,Grimy Waifu,175201
2021-11-06 11:02,JPEGMAFIA,PTSD,148396
2021-11-06 11:04,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572
2021-11-06 11:08,JPEGMAFIA,All My Heroes Are Cornballs,203804
2021-11-06 11:09,JPEGMAFIA,BBW,96081
2021-11-06 11:12,JPEGMAFIA,PRONE!,162000
2021-11-06 11:13,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625
2021-11-06 11:16,JPEGMAFIA,Thot Tactics,170360
2021-11-06 11:19,JPEGMAFIA,Free The Frail,210569
2021-11-06 11:23,JPEGMAFIA,Post Verified Lifestyle,215470
2021-11-06 11:24,JPEGMAFIA,BasicBitchTearGas,75969
2021-11-06 11:26,JPEGMAFIA,DOTS FREESTYLE REMIX,127604
2021-11-06 11:28,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261
2021-11-06 11:32,JPEGMAFIA,Papi I Missed U,242175
2021-11-06 11:34,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533
2021-11-06 11:37,JPEGMAFIA,Kenan Vs. Kel,181113
2021-11-06 11:41,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929
2021-11-06 11:41,JPEGMAFIA,Beta Male Strategies,198008
2021-11-06 11:44,JPEGMAFIA,Grimy Waifu,175201
2021-11-06 11:47,JPEGMAFIA,PTSD,148396
2021-11-06 11:50,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572
2021-11-06 11:53,JPEGMAFIA,All My Heroes Are Cornballs,203804
2021-11-06 11:55,JPEGMAFIA,BBW,96081
2021-11-06 11:57,JPEGMAFIA,PRONE!,162000
2021-11-06 11:58,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625
2021-11-06 12:01,JPEGMAFIA,Thot Tactics,170360
2021-11-06 12:05,JPEGMAFIA,Free The Frail,210569
2021-11-06 12:08,JPEGMAFIA,Post Verified Lifestyle,215470
2021-11-06 12:10,JPEGMAFIA,BasicBitchTearGas,75969
2021-11-06 12:12,JPEGMAFIA,DOTS FREESTYLE REMIX,127604
2021-11-06 12:13,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261
2021-11-06 12:17,JPEGMAFIA,Papi I Missed U,242175
2021-11-06 12:20,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533
2021-11-06 12:31,JPEGMAFIA,Kenan Vs. Kel,57253
2021-11-07 06:04,JPEGMAFIA,Kenan Vs. Kel,124096
2021-11-07 06:07,JPEGMAFIA,Beta Male Strategies,198008
2021-11-07 06:08,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929
2021-11-07 06:11,JPEGMAFIA,Grimy Waifu,175201
2021-11-07 06:13,JPEGMAFIA,PTSD,148396
2021-11-07 06:16,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572
2021-11-07 06:20,JPEGMAFIA,All My Heroes Are Cornballs,203804
2021-11-07 06:21,JPEGMAFIA,BBW,96081
2021-11-07 06:24,JPEGMAFIA,PRONE!,162000
2021-11-07 06:25,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625
2021-11-07 06:28,JPEGMAFIA,Thot Tactics,170360
2021-11-07 06:31,JPEGMAFIA,Free The Frail,210569
2021-11-07 06:35,JPEGMAFIA,Post Verified Lifestyle,215470
2021-11-07 06:36,JPEGMAFIA,BasicBitchTearGas,75969
2021-11-07 06:38,JPEGMAFIA,DOTS FREESTYLE REMIX,127604
2021-11-07 06:39,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261
2021-11-07 06:43,JPEGMAFIA,Papi I Missed U,242175
2021-11-07 06:46,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533
2021-11-07 06:49,JPEGMAFIA,Kenan Vs. Kel,181113
2021-11-07 06:52,JPEGMAFIA,Beta Male Strategies,198008
2021-11-07 06:53,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929
2021-11-07 06:56,JPEGMAFIA,Grimy Waifu,175201
2021-11-07 06:59,JPEGMAFIA,PTSD,148396
2021-11-07 07:02,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572
2021-11-07 07:05,JPEGMAFIA,All My Heroes Are Cornballs,203804
2021-11-07 07:07,JPEGMAFIA,BBW,96081
2021-11-07 07:09,JPEGMAFIA,PRONE!,162000
2021-11-07 07:10,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625
2021-11-07 07:13,JPEGMAFIA,Thot Tactics,170360
2021-11-07 07:17,JPEGMAFIA,Free The Frail,210569
2021-11-07 07:20,JPEGMAFIA,Post Verified Lifestyle,215470
2021-11-07 07:21,JPEGMAFIA,BasicBitchTearGas,75969
2021-11-07 07:24,JPEGMAFIA,DOTS FREESTYLE REMIX,127604
2021-11-07 07:25,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261
2021-11-07 07:29,JPEGMAFIA,Papi I Missed U,242175
2021-11-07 07:31,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533
2021-11-07 07:34,JPEGMAFIA,Kenan Vs. Kel,181113
2021-11-07 07:38,JPEGMAFIA,Beta Male Strategies,198008
2021-11-07 07:39,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929
2021-11-07 07:42,JPEGMAFIA,Grimy Waifu,175201
2021-11-07 07:44,JPEGMAFIA,PTSD,148396
2021-11-07 07:47,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572
2021-11-07 07:50,JPEGMAFIA,All My Heroes Are Cornballs,203804
2021-11-07 07:52,JPEGMAFIA,BBW,96081
